Model,ROI,Sharpe Ratio,Stock Price Change,Portfolio Value Change,Price vs Portfolio
Sentiment_DecisionTreeClassifier,1.380465050700001,0.04966676782337949,154.5202934211221,138.04650507000008,-16.47378835112201
Sentiment_GradientBoostingClassifier,1.2228159070000009,0.046924176481060696,154.5202934211221,122.28159070000008,-32.23870272112201
Sentiment_RandomForestClassifier,1.1272740796000014,0.04415062497165453,154.5202934211221,112.72740796000014,-41.792885461121955
Sentiment_XGBClassifier,1.1181981046000011,0.04498278296693505,154.5202934211221,111.81981046000011,-42.70048296112198
Sentiment_finbert,1.0708040468000006,0.05350774376061423,154.5202934211221,107.08040468000006,-47.43988874112203
Sentiment_SGDClassifier,0.9322578882000017,0.04698308131639547,154.5202934211221,93.22578882000016,-61.29450460112193
Sentiment_LogisticRegression,0.7974939644999995,0.03899716158206257,154.5202934211221,79.74939644999995,-74.77089697112214
Sentiment_KNeighborsClassifier,0.7590448521000009,0.041399033474979974,154.5202934211221,75.90448521000009,-78.615808211122
Sentiment_MultinomialNB,0.7399319644000006,0.04029294751366641,154.5202934211221,73.99319644000006,-80.52709698112203
Sentiment_Random,0.5829619956000007,0.04201104959356993,154.5202934211221,58.296199560000076,-96.22409386112201
