Model,ROI,Sharpe Ratio,Stock Price Change,Portfolio Value Change,Price vs Portfolio
Sentiment_DecisionTreeClassifier,0.9568469834999996,0.03618903599911431,120.26826737014211,95.68469834999996,-24.58356902014215
Sentiment_GradientBoostingClassifier,0.9221990276999994,0.0355761513551797,120.26826737014211,92.21990276999993,-28.04836460014218
Sentiment_XGBClassifier,0.8890479883000008,0.03618950319235044,120.26826737014211,88.90479883000008,-31.363468540142037
Sentiment_RandomForestClassifier,0.8721370271000003,0.03558725361991389,120.26826737014211,87.21370271000004,-33.05456466014208
Sentiment_KNeighborsClassifier,0.8576320299000003,0.03535438521326811,120.26826737014211,85.76320299000002,-34.50506438014209
Sentiment_ensemble,0.8169660160000006,0.03487603133014703,120.26826737014211,81.69660160000006,-38.57166577014205
Sentiment_finbert,0.7656530591999988,0.040200084820216635,120.26826737014211,76.56530591999989,-43.702961450142226
Sentiment_LogisticRegression,0.7270730597000012,0.03519870814575008,120.26826737014211,72.70730597000012,-47.56096140014199
Sentiment_SGDClassifier,0.6847370066000007,0.03673808315852779,120.26826737014211,68.47370066000008,-51.794566710142036
Sentiment_MultinomialNB,0.6466500155000001,0.040850563012453996,120.26826737014211,64.66500155000001,-55.6032658201421
Sentiment_Random,0.5031130231999997,0.03478222993487851,120.26826737014211,50.311302319999974,-69.95696505014214
