Model,ROI,Sharpe Ratio,Stock Price Change,Portfolio Value Change,Price vs Portfolio
Sentiment_DecisionTreeClassifier,2.029560831099999,0.05552775717397104,349.3074681696226,202.9560831099999,-146.35138505962271
Sentiment_RandomForestClassifier,1.9607697466999991,0.05571355938197975,349.3074681696226,196.0769746699999,-153.2304934996227
Sentiment_GradientBoostingClassifier,1.9408419701999995,0.055143297995813495,349.3074681696226,194.08419701999995,-155.22327114962266
Sentiment_KNeighborsClassifier,1.5586039855999996,0.05294354292571757,349.3074681696226,155.86039855999996,-193.44706960962264
Sentiment_finbert,1.4377866917999993,0.04726805628557493,349.3074681696226,143.77866917999992,-205.5287989896227
Sentiment_XGBClassifier,1.4237778989999998,0.04827458579862323,349.3074681696226,142.37778989999998,-206.92967826962263
Sentiment_Random,1.0742290589999994,0.052441277018053185,349.3074681696226,107.42290589999995,-241.88456226962268
Sentiment_LogisticRegression,0.9789159775,0.044147820745884525,349.3074681696226,97.89159775,-251.4158704196226
Sentiment_MultinomialNB,0.9028799195999986,0.048391248882970424,349.3074681696226,90.28799195999986,-259.0194762096228
Sentiment_SGDClassifier,0.7465039906000019,0.0454946867558378,349.3074681696226,74.6503990600002,-274.6570691096224
