Model,ROI,Sharpe Ratio,Stock Price Change,Portfolio Value Change,Price vs Portfolio
Sentiment_RandomForestClassifier,0.7057231311999996,0.02610343911453069,102.62553437693127,70.57231311999996,-32.05322125693131
Sentiment_XGBClassifier,0.6914785500000001,0.0253520727097522,102.62553437693127,69.147855,-33.47767937693126
Sentiment_LogisticRegression,0.6655076255,0.02720504227943231,102.62553437693127,66.55076255,-36.07477182693127
Sentiment_ensemble,0.634698257700001,0.024831746656980864,102.62553437693127,63.4698257700001,-39.15570860693117
Sentiment_GradientBoostingClassifier,0.5301165685000006,0.021839315132866154,102.62553437693127,53.01165685000006,-49.61387752693121
Sentiment_DecisionTreeClassifier,0.42851670190000024,0.018950235890942593,102.62553437693127,42.85167019000002,-59.77386418693125
Sentiment_MultinomialNB,0.42766855520000174,0.02370584549204533,102.62553437693127,42.76685552000018,-59.85867885693109
Sentiment_Random,0.4180985180999998,0.02444083397004093,102.62553437693127,41.809851809999984,-60.81568256693129
Sentiment_finbert,0.41401185860000006,0.019968738722453503,102.62553437693127,41.401185860000005,-61.224348516931265
Sentiment_KNeighborsClassifier,0.4056551659000008,0.018262706669122386,102.62553437693127,40.56551659000008,-62.06001778693119
Sentiment_SGDClassifier,0.4029796333000013,0.0204546312462681,102.62553437693127,40.29796333000013,-62.32757104693114
