Model,ROI,Sharpe Ratio,Stock Price Change,Portfolio Value Change,Price vs Portfolio
Sentiment_DecisionTreeClassifier,1.4628027417999998,0.0351709274686783,165.74586282671112,146.28027418,-19.465588646711126
Sentiment_XGBClassifier,1.1497156902999999,0.03140335710456871,165.74586282671112,114.97156902999998,-50.774293796711135
Sentiment_GradientBoostingClassifier,1.1363684042000008,0.03069571549567485,165.74586282671112,113.63684042000008,-52.109022406711034
Sentiment_KNeighborsClassifier,1.0550296340000005,0.029738171328131995,165.74586282671112,105.50296340000006,-60.24289942671106
Sentiment_ensemble,1.0417453566999992,0.029946613222469515,165.74586282671112,104.17453566999993,-61.57132715671119
Sentiment_RandomForestClassifier,0.9689591882000012,0.02823068693601839,165.74586282671112,96.89591882000012,-68.849944006711
Sentiment_SGDClassifier,0.8402051728000006,0.029959374218382198,165.74586282671112,84.02051728000006,-81.72534554671105
Sentiment_LogisticRegression,0.8384380042,0.028077890490503028,165.74586282671112,83.84380042000001,-81.90206240671111
Sentiment_finbert,0.8213303409000015,0.03311471614523564,165.74586282671112,82.13303409000015,-83.61282873671097
Sentiment_Random,0.6967777059999982,0.03338548243784249,165.74586282671112,69.67777059999982,-96.0680922267113
Sentiment_MultinomialNB,0.6773339805000004,0.02721407566875261,165.74586282671112,67.73339805000003,-98.01246477671108
