Model,ROI,Sharpe Ratio,Stock Price Change,Portfolio Value Change,Price vs Portfolio
Sentiment_GradientBoostingClassifier,9.747200111699994,0.06431761102849917,1695.256406324868,974.7200111699995,-720.5363951548686
Sentiment_DecisionTreeClassifier,9.4231680591,0.06083711534511743,1695.256406324868,942.31680591,-752.9396004148681
Sentiment_XGBClassifier,8.946019573999992,0.06568024735754155,1695.256406324868,894.6019573999993,-800.6544489248688
Sentiment_RandomForestClassifier,8.554745155700004,0.061947021809686656,1695.256406324868,855.4745155700004,-839.7818907548676
Sentiment_LogisticRegression,6.639753041799998,0.06239926826773843,1695.256406324868,663.9753041799997,-1031.2811021448683
Sentiment_finbert,5.4687540453000025,0.06519680372966125,1695.256406324868,546.8754045300002,-1148.3810017948679
Sentiment_KNeighborsClassifier,4.985503850000001,0.06400148027878813,1695.256406324868,498.55038500000006,-1196.706021324868
Sentiment_MultinomialNB,4.526312089900002,0.06337368045325728,1695.256406324868,452.6312089900002,-1242.6251973348678
Sentiment_SGDClassifier,4.469142310399999,0.06470828083257829,1695.256406324868,446.9142310399999,-1248.342175284868
Sentiment_Random,4.060095003599999,0.05712465808083742,1695.256406324868,406.0095003599999,-1289.2469059648681
